YEAR,MONTH,COUNT
2012,7,52
2012,8,54
2012,9,45
2012,10,53
2012,11,44
2012,12,52
2013,1,50
2013,2,53
2013,3,55
2013,4,45
2013,5,59
2013,6,37
2013,7,59
2013,8,35
2013,9,43
2013,10,45
2013,11,42
2013,12,59
2014,1,43
2014,2,40
2014,3,29
2014,4,33
2014,5,55
2014,6,60
2014,7,58
2014,8,49
2014,9,49
2014,10,54
2014,11,40
2014,12,49
2015,1,50
2015,2,39
2015,3,51
2015,4,59
2015,5,61
2015,6,60
2015,7,52
2015,8,41
2015,9,58
2015,10,54
2015,11,59
2015,12,46
2016,1,62
2016,2,56
2016,3,30
2016,4,29
2016,5,47
2016,6,56
2016,7,48
2016,8,52
2016,9,54
2016,10,44
2016,11,50
2016,12,65
2017,1,58
2017,2,61
2017,3,60
2017,4,71
2017,5,58
2017,6,65
2017,7,68
2017,8,70
2017,9,75
2017,10,56
2017,11,67
2017,12,68
2018,1,59
2018,2,54
2018,3,54
2018,4,64
2018,5,75
2018,6,74
2018,7,71
2018,8,66
2018,9,70
2018,10,55
2018,11,59
2018,12,58
2019,1,56
2019,2,55
2019,3,51
2019,4,59
2019,5,63
2019,6,76
2019,7,57
2019,8,74
2019,9,56
2019,10,72
2019,11,60
2019,12,62
2020,1,60
2020,2,56
2020,3,50
2020,4,43
2020,5,57
2020,6,71
2020,7,73
2020,8,85
2020,9,78
2020,10,91
2020,11,69
2020,12,66
2021,1,66
2021,2,53
2021,3,73
2021,4,73
2021,5,79
2021,6,91
2021,7,72
2021,8,89
2021,9,75
2021,10,83
2021,11,77
2021,12,76
2022,1,78
2022,2,40
2022,3,64
2022,4,60
2022,5,61
2022,6,67
2022,7,68
2022,8,52
2022,9,59
2022,10,51
2022,11,66
2022,12,52
2023,1,58
2023,2,53
2023,3,57
2023,4,67
2023,5,58
2023,6,49
2023,7,50
2023,8,58
2023,9,50
2023,10,64
2023,11,34
2023,12,54
2024,1,48
2024,2,44
2024,3,57
2024,4,45
2024,5,46
2024,6,60
2024,7,33
2024,8,6
